,Site,Bout,Date,Duration,SampRate,Stereo,BIO,ACI,NDSI,ADI,AEI,H,M
88,AR-2A,Bout_4,MINI8_20220329_051800.wav,300,24000,FALSE,59.03697893,9140.834507,-0.249142539,1.524574,0.657688,0.737563475,6.69E-06
89,AR-2A,Bout_4,MINI8_20220329_061800.wav,300,24000,FALSE,77.91760026,8984.175706,0.661066716,1.862698,0.528612,0.759125719,9.14E-06
90,AR-2A,Bout_4,MINI8_20220329_071800.wav,300,24000,FALSE,92.51516304,9224.962636,0.701842516,1.896791,0.48506,0.793875743,9.91E-06
91,AR-2A,Bout_4,MINI8_20220329_081800.wav,300,24000,FALSE,86.44781112,9883.19896,0.183808032,1.474314,0.688472,0.712525824,1.73E-05
92,AR-2A,Bout_4,MINI8_20220329_091800.wav,300,24000,FALSE,100.0894247,9101.984467,0.929012179,2.128877,0.382929,0.831180109,1.68E-05
93,AR-2A,Bout_4,MINI8_20220329_164000.wav,300,24000,FALSE,90.40122864,8572.631649,0.993984865,2.067767,0.426879,0.819821335,1.43E-05
94,AR-2A,Bout_4,MINI8_20220329_174000.wav,300,24000,FALSE,92.66612973,8740.535341,0.963475593,2.208962,0.303701,0.859902692,1.19E-05
95,AR-2A,Bout_4,MINI8_20220329_184000.wav,300,24000,FALSE,83.12286496,8682.781912,0.935043862,2.15091,0.334247,0.872009441,8.44E-06
96,AR-2A,Bout_4,MINI8_20220329_194000.wav,300,24000,FALSE,70.37004474,9132.805717,0.924538055,2.112933,0.40044,0.842942118,1.05E-05
97,AR-2A,Bout_4,MINI8_20220329_204000.wav,300,24000,FALSE,76.36968298,8904.084406,0.977521923,2.357687,0.137548,0.86862193,1.21E-05
98,AR-2A,Bout_4,MINI8_20220330_051600.wav,300,24000,FALSE,68.32809908,10432.64577,0.633807904,1.307177,0.740555,0.82154535,4.84E-06
99,AR-2A,Bout_4,MINI8_20220330_061600.wav,300,24000,FALSE,61.2613253,10073.79475,0.356019363,1.583852,0.660196,0.808812951,4.56E-06
100,AR-2A,Bout_4,MINI8_20220330_071600.wav,300,24000,FALSE,65.11474622,10259.22317,0.592236722,1.994963,0.465239,0.797982886,6.25E-06
101,AR-2A,Bout_4,MINI8_20220330_081600.wav,300,24000,FALSE,97.97475293,9797.526283,0.97387058,2.050727,0.424801,0.836553566,1.50E-05
102,AR-2A,Bout_4,MINI8_20220330_091600.wav,300,24000,FALSE,79.92121997,9133.810772,0.965860661,2.207895,0.32125,0.84997091,1.24E-05
103,AR-2A,Bout_4,MINI8_20220330_164000.wav,300,24000,FALSE,84.73761107,8885.864552,0.697491036,2.371005,0.096312,0.881981006,1.53E-05
104,AR-2A,Bout_4,MINI8_20220330_174000.wav,300,24000,FALSE,77.77452063,8897.254945,0.561574034,2.120104,0.373202,0.897856654,1.68E-05
105,AR-2A,Bout_4,MINI8_20220330_184000.wav,300,24000,FALSE,65.54033427,9164.97707,0.076164401,2.335986,0.153225,0.886409005,1.68E-05
106,AR-2A,Bout_4,MINI8_20220330_194000.wav,300,24000,FALSE,86.25642363,9068.998383,0.84117197,1.797325,0.568437,0.867554711,1.08E-05
107,AR-2A,Bout_4,MINI8_20220330_204000.wav,300,24000,FALSE,61.02232084,8718.352457,0.99457156,2.288311,0.259331,0.830320525,2.22E-05
108,AR-2A,Bout_4,MINI8_20220331_051500.wav,300,24000,FALSE,91.20837251,8877.605677,0.983787745,1.871691,0.529993,0.810209755,1.74E-05
109,AR-2A,Bout_4,MINI8_20220331_061500.wav,300,24000,FALSE,84.1577779,9082.061095,0.986553216,1.883493,0.52277,0.809100356,1.76E-05
110,AR-2A,Bout_4,MINI8_20220331_071500.wav,300,24000,FALSE,102.6406457,9152.438373,0.979695781,2.070893,0.423509,0.839937317,1.22E-05
111,AR-2A,Bout_4,MINI8_20220331_081500.wav,300,24000,FALSE,67.99967299,9303.128627,0.890319633,2.254552,0.271489,0.858457138,1.09E-05
112,AR-2A,Bout_4,MINI8_20220331_091500.wav,300,24000,FALSE,71.10604375,9005.646056,0.073848794,2.358972,0.126774,0.887229868,1.72E-05
113,AR-2A,Bout_4,MINI8_20220331_164100.wav,300,24000,FALSE,78.04895347,8804.687459,0.537295204,2.364397,0.115686,0.892581904,2.33E-05
114,AR-2A,Bout_4,MINI8_20220331_174100.wav,300,24000,FALSE,84.98967999,8882.495206,0.558825998,2.375458,0.092523,0.877914811,1.49E-05
115,AR-2A,Bout_4,MINI8_20220331_184100.wav,300,24000,FALSE,91.9382416,8856.984065,0.948090365,2.348527,0.132647,0.864250206,8.23E-06
116,AR-2A,Bout_4,MINI8_20220331_194100.wav,300,24000,FALSE,78.43425663,8862.366208,0.64851398,1.849846,0.523619,0.882228627,9.84E-06
117,AR-2A,Bout_4,MINI8_20220331_204100.wav,300,24000,FALSE,83.50339309,8781.235467,0.988511626,1.866798,0.527513,0.821307917,1.88E-05
118,AR-2A,Bout_4,MINI8_20220401_051400.wav,300,24000,FALSE,78.19029921,8920.968436,0.965485583,2.361433,0.136765,0.845189881,2.24E-05
119,AR-2A,Bout_4,MINI8_20220401_061400.wav,300,24000,FALSE,66.46357184,8812.068837,0.972128869,2.381342,0.098265,0.848003891,1.92E-05
